region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
US,US,full-year,all_sports,participants,age,2009,18-24,856789.0584916497,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2009,25-34,1371041.6039244821,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2009,35-44,1568798.9194947856,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2009,45-54,1756112.2166979653,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2009,55-64,1305137.2013911172,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2010,18-24,848211.8505676588,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2010,25-34,1366423.792072746,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2010,35-44,1528750.0942201572,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2010,45-54,1745702.7593477403,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2010,55-64,1343171.5037916978,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2011,18-24,860544.4670259056,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2011,25-34,1381189.452714343,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2011,35-44,1499322.3408787963,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2011,45-54,1728859.3354506332,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2011,55-64,1370800.4039303218,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2012,18-24,900121.1069946504,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2012,25-34,1418865.1473834084,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2012,35-44,1510051.6241446729,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2012,45-54,1733674.3342130105,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2012,55-64,1413748.7872642577,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2013,18-24,930727.5158482234,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,participants,age,2013,25-34,1450703.875413992,sum,total,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
