timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,all_sports,all,all,2009,participants,655576,TN,Southeast,NONE,NA
full-year,all_sports,all,all,2010,participants,631374,TN,Southeast,NONE,NA
full-year,all_sports,all,all,2011,participants,614739,TN,Southeast,NONE,NA
full-year,all_sports,all,all,2012,participants,642900,TN,Southeast,NONE,NA
full-year,all_sports,all,all,2013,participants,638473,TN,Southeast,NONE,NA
full-year,all_sports,all,all,2014,participants,656177,TN,Southeast,NONE,NA
full-year,all_sports,all,all,2015,participants,641062,TN,Southeast,NONE,NA
full-year,all_sports,all,all,2016,participants,620001,TN,Southeast,NONE,NA
full-year,all_sports,all,all,2017,participants,588229,TN,Southeast,NONE,NA
full-year,all_sports,all,all,2018,participants,565715,TN,Southeast,NONE,NA
full-year,all_sports,residency,resident,2009,participants,514279,TN,Southeast,NONE,NA
full-year,all_sports,residency,resident,2010,participants,493742,TN,Southeast,NONE,NA
full-year,all_sports,residency,resident,2011,participants,479431,TN,Southeast,NONE,NA
full-year,all_sports,residency,resident,2012,participants,502286,TN,Southeast,NONE,NA
full-year,all_sports,residency,resident,2013,participants,497902,TN,Southeast,NONE,NA
full-year,all_sports,residency,resident,2014,participants,508773,TN,Southeast,NONE,NA
full-year,all_sports,residency,resident,2015,participants,495747,TN,Southeast,NONE,NA
full-year,all_sports,residency,resident,2016,participants,476e3,TN,Southeast,NONE,NA
full-year,all_sports,residency,resident,2017,participants,447830,TN,Southeast,NONE,NA
full-year,all_sports,residency,resident,2018,participants,424773,TN,Southeast,NONE,NA
full-year,all_sports,residency,nonresident,2009,participants,141297,TN,Southeast,NONE,NA
full-year,all_sports,residency,nonresident,2010,participants,137632,TN,Southeast,NONE,NA
full-year,all_sports,residency,nonresident,2011,participants,135308,TN,Southeast,NONE,NA
full-year,all_sports,residency,nonresident,2012,participants,140614,TN,Southeast,NONE,NA
full-year,all_sports,residency,nonresident,2013,participants,140571,TN,Southeast,NONE,NA
full-year,all_sports,residency,nonresident,2014,participants,147404,TN,Southeast,NONE,NA
full-year,all_sports,residency,nonresident,2015,participants,145315,TN,Southeast,NONE,NA
full-year,all_sports,residency,nonresident,2016,participants,144001,TN,Southeast,NONE,NA
full-year,all_sports,residency,nonresident,2017,participants,140399,TN,Southeast,NONE,NA
full-year,all_sports,residency,nonresident,2018,participants,140942,TN,Southeast,NONE,NA
full-year,all_sports,gender,male,2009,participants,528993,TN,Southeast,NONE,NA
full-year,all_sports,gender,male,2010,participants,510649,TN,Southeast,NONE,NA
full-year,all_sports,gender,male,2011,participants,496156,TN,Southeast,NONE,NA
full-year,all_sports,gender,male,2012,participants,512144,TN,Southeast,NONE,NA
