timeframe,group,segment,year,category,metric,value
full-year,all_sports,All,2010,All,participants,236591
full-year,all_sports,All,2011,All,participants,232008
full-year,all_sports,All,2012,All,participants,244855
full-year,all_sports,All,2013,All,participants,238078
full-year,all_sports,All,2014,All,participants,239332
full-year,all_sports,All,2015,All,participants,247918
full-year,all_sports,All,2016,All,participants,251923
full-year,all_sports,All,2017,All,participants,248185
full-year,all_sports,All,2018,All,participants,233631
full-year,all_sports,Residency,2010,Resident,participants,188494
full-year,all_sports,Residency,2011,Resident,participants,184577
full-year,all_sports,Residency,2012,Resident,participants,196320
full-year,all_sports,Residency,2013,Resident,participants,191045
full-year,all_sports,Residency,2014,Resident,participants,191426
full-year,all_sports,Residency,2015,Resident,participants,196304
full-year,all_sports,Residency,2016,Resident,participants,198713
full-year,all_sports,Residency,2017,Resident,participants,194257
full-year,all_sports,Residency,2018,Resident,participants,180999
full-year,all_sports,Residency,2010,Nonresident,participants,48097
full-year,all_sports,Residency,2011,Nonresident,participants,47431
full-year,all_sports,Residency,2012,Nonresident,participants,48535
full-year,all_sports,Residency,2013,Nonresident,participants,47033
full-year,all_sports,Residency,2014,Nonresident,participants,47906
full-year,all_sports,Residency,2015,Nonresident,participants,51614
full-year,all_sports,Residency,2016,Nonresident,participants,53210
full-year,all_sports,Residency,2017,Nonresident,participants,53928
full-year,all_sports,Residency,2018,Nonresident,participants,52632
full-year,all_sports,Gender,2010,Male,participants,196317
full-year,all_sports,Gender,2011,Male,participants,192070
full-year,all_sports,Gender,2012,Male,participants,199e3
full-year,all_sports,Gender,2013,Male,participants,192991
full-year,all_sports,Gender,2014,Male,participants,192686
full-year,all_sports,Gender,2015,Male,participants,199169
full-year,all_sports,Gender,2016,Male,participants,201263
full-year,all_sports,Gender,2017,Male,participants,198488
full-year,all_sports,Gender,2018,Male,participants,188902
full-year,all_sports,Gender,2010,Female,participants,40274
full-year,all_sports,Gender,2011,Female,participants,39938
full-year,all_sports,Gender,2012,Female,participants,45855
full-year,all_sports,Gender,2013,Female,participants,45087
full-year,all_sports,Gender,2014,Female,participants,46646
full-year,all_sports,Gender,2015,Female,participants,48749
full-year,all_sports,Gender,2016,Female,participants,50660
full-year,all_sports,Gender,2017,Female,participants,49697
full-year,all_sports,Gender,2018,Female,participants,44729
full-year,all_sports,Age,2010,18-24,participants,32869
full-year,all_sports,Age,2011,18-24,participants,31893
full-year,all_sports,Age,2012,18-24,participants,35303
full-year,all_sports,Age,2013,18-24,participants,35308
full-year,all_sports,Age,2014,18-24,participants,35722
full-year,all_sports,Age,2015,18-24,participants,36280
full-year,all_sports,Age,2016,18-24,participants,36883
full-year,all_sports,Age,2017,18-24,participants,35672
full-year,all_sports,Age,2018,18-24,participants,32668
full-year,all_sports,Age,2010,25-34,participants,53708
full-year,all_sports,Age,2011,25-34,participants,53396
full-year,all_sports,Age,2012,25-34,participants,57983
full-year,all_sports,Age,2013,25-34,participants,56676
full-year,all_sports,Age,2014,25-34,participants,57370
full-year,all_sports,Age,2015,25-34,participants,59608
full-year,all_sports,Age,2016,25-34,participants,60409
full-year,all_sports,Age,2017,25-34,participants,58363
full-year,all_sports,Age,2018,25-34,participants,54111
full-year,all_sports,Age,2010,35-44,participants,51344
full-year,all_sports,Age,2011,35-44,participants,50218
full-year,all_sports,Age,2012,35-44,participants,53098
full-year,all_sports,Age,2013,35-44,participants,51508
full-year,all_sports,Age,2014,35-44,participants,51727
full-year,all_sports,Age,2015,35-44,participants,53957
full-year,all_sports,Age,2016,35-44,participants,55608
full-year,all_sports,Age,2017,35-44,participants,55996
