timeframe,group,segment,category,year,metric,value
full-year,all_sports,age,18-24,2010,churn,0.6267410421099999
full-year,all_sports,age,18-24,2011,churn,0.63597336081
full-year,all_sports,age,18-24,2012,churn,0.64712405444
full-year,all_sports,age,18-24,2013,churn,0.63438616826
full-year,all_sports,age,18-24,2014,churn,0.64992276049
full-year,all_sports,age,18-24,2015,churn,0.64392660137
full-year,all_sports,age,18-24,2016,churn,0.64539244016
full-year,all_sports,age,18-24,2017,churn,0.63391217373
full-year,all_sports,age,18-24,2018,churn,0.630069902
full-year,all_sports,age,18-24,2009,participants,119992.05849164964
full-year,all_sports,age,18-24,2010,participants,137300.85056765878
full-year,all_sports,age,18-24,2011,participants,156133.46702590567
full-year,all_sports,age,18-24,2012,participants,160680.10699465044
full-year,all_sports,age,18-24,2013,participants,179290.5158482234
full-year,all_sports,age,18-24,2014,participants,184641.44716713487
full-year,all_sports,age,18-24,2015,participants,187215.83445897757
full-year,all_sports,age,18-24,2016,participants,185103.28426299334
full-year,all_sports,age,18-24,2017,participants,182448.97990947787
full-year,all_sports,age,18-24,2018,participants,175272.09463795004
full-year,all_sports,age,18-24,2014,recruits,88456.3263519303
full-year,all_sports,age,18-24,2015,recruits,86618.6405542208
full-year,all_sports,age,18-24,2016,recruits,83606.0614002771
full-year,all_sports,age,18-24,2017,recruits,80039.58836280662
full-year,all_sports,age,18-24,2018,recruits,75473.92461407451
full-year,fish,age,18-24,2010,churn,0.6632393997199999
full-year,fish,age,18-24,2011,churn,0.6658688179800001
full-year,fish,age,18-24,2012,churn,0.6738812277099999
full-year,fish,age,18-24,2013,churn,0.6591823595699999
full-year,fish,age,18-24,2014,churn,0.67257827275
full-year,fish,age,18-24,2015,churn,0.6629600088500001
full-year,fish,age,18-24,2016,churn,0.66362593888
full-year,fish,age,18-24,2017,churn,0.65156776186
full-year,fish,age,18-24,2018,churn,0.64674774939
full-year,fish,age,18-24,2009,participants,113219.85223916538
full-year,fish,age,18-24,2010,participants,130568.86624752797
full-year,fish,age,18-24,2011,participants,149937.80575761525
full-year,fish,age,18-24,2012,participants,154243.0601654243
full-year,fish,age,18-24,2013,participants,172737.050023559
full-year,fish,age,18-24,2014,participants,178492.4765072423
full-year,fish,age,18-24,2015,participants,181781.14860108565
full-year,fish,age,18-24,2016,participants,179857.75034397794
