timeframe,group,segment,year,category,metric,value
full-year,fish,All,2009,All,participants,557715
full-year,fish,All,2010,All,participants,510467
full-year,fish,All,2011,All,participants,505411
full-year,fish,All,2012,All,participants,505795
full-year,fish,All,2013,All,participants,506268
full-year,fish,All,2014,All,participants,509366
full-year,fish,All,2015,All,participants,502518
full-year,fish,All,2016,All,participants,508490
full-year,fish,All,2017,All,participants,481924
full-year,fish,All,2018,All,participants,476616
full-year,fish,Residency,2009,Resident,participants,457699
full-year,fish,Residency,2010,Resident,participants,423097
full-year,fish,Residency,2011,Resident,participants,419639
full-year,fish,Residency,2012,Resident,participants,417567
full-year,fish,Residency,2013,Resident,participants,417523
full-year,fish,Residency,2014,Resident,participants,418279
full-year,fish,Residency,2015,Resident,participants,407076
full-year,fish,Residency,2016,Resident,participants,409640
full-year,fish,Residency,2017,Resident,participants,388176
full-year,fish,Residency,2018,Resident,participants,386107
full-year,fish,Residency,2009,Nonresident,participants,100016
full-year,fish,Residency,2010,Nonresident,participants,87370
full-year,fish,Residency,2011,Nonresident,participants,85772
full-year,fish,Residency,2012,Nonresident,participants,88228
full-year,fish,Residency,2013,Nonresident,participants,88745
full-year,fish,Residency,2014,Nonresident,participants,91087
full-year,fish,Residency,2015,Nonresident,participants,95442
full-year,fish,Residency,2016,Nonresident,participants,98850
full-year,fish,Residency,2017,Nonresident,participants,93748
full-year,fish,Residency,2018,Nonresident,participants,90509
full-year,fish,gender,2009,Male,participants,424212
full-year,fish,gender,2010,Male,participants,392616
full-year,fish,gender,2011,Male,participants,386898
full-year,fish,gender,2012,Male,participants,385108
full-year,fish,gender,2013,Male,participants,382478
full-year,fish,gender,2014,Male,participants,382355
full-year,fish,gender,2015,Male,participants,377025
full-year,fish,gender,2016,Male,participants,378946
full-year,fish,gender,2017,Male,participants,361529
full-year,fish,gender,2018,Male,participants,356477
full-year,fish,gender,2009,Female,participants,133503
full-year,fish,gender,2010,Female,participants,117851
full-year,fish,gender,2011,Female,participants,118513
full-year,fish,gender,2012,Female,participants,120687
full-year,fish,gender,2013,Female,participants,123790
full-year,fish,gender,2014,Female,participants,127011
full-year,fish,gender,2015,Female,participants,125493
full-year,fish,gender,2016,Female,participants,129544
full-year,fish,gender,2017,Female,participants,120395
full-year,fish,gender,2018,Female,participants,120139
full-year,fish,age,2009,18-24,participants,64121
