timeframe,group,segment,year,category,metric,value,state
full-year,all_sports,all,2009,all,participants,655576,TN
full-year,all_sports,all,2010,all,participants,631374,TN
full-year,all_sports,all,2011,all,participants,614739,TN
full-year,all_sports,all,2012,all,participants,642900,TN
full-year,all_sports,all,2013,all,participants,638473,TN
full-year,all_sports,all,2014,all,participants,656177,TN
full-year,all_sports,all,2015,all,participants,641062,TN
full-year,all_sports,all,2016,all,participants,620001,TN
full-year,all_sports,all,2017,all,participants,588229,TN
full-year,all_sports,all,2018,all,participants,565715,TN
full-year,all_sports,residency,2009,resident,participants,514279,TN
full-year,all_sports,residency,2010,resident,participants,493742,TN
full-year,all_sports,residency,2011,resident,participants,479431,TN
full-year,all_sports,residency,2012,resident,participants,502286,TN
full-year,all_sports,residency,2013,resident,participants,497902,TN
full-year,all_sports,residency,2014,resident,participants,508773,TN
full-year,all_sports,residency,2015,resident,participants,495747,TN
full-year,all_sports,residency,2016,resident,participants,476e3,TN
full-year,all_sports,residency,2017,resident,participants,447830,TN
full-year,all_sports,residency,2018,resident,participants,424773,TN
full-year,all_sports,residency,2009,nonresident,participants,141297,TN
full-year,all_sports,residency,2010,nonresident,participants,137632,TN
full-year,all_sports,residency,2011,nonresident,participants,135308,TN
full-year,all_sports,residency,2012,nonresident,participants,140614,TN
full-year,all_sports,residency,2013,nonresident,participants,140571,TN
full-year,all_sports,residency,2014,nonresident,participants,147404,TN
full-year,all_sports,residency,2015,nonresident,participants,145315,TN
full-year,all_sports,residency,2016,nonresident,participants,144001,TN
full-year,all_sports,residency,2017,nonresident,participants,140399,TN
full-year,all_sports,residency,2018,nonresident,participants,140942,TN
full-year,all_sports,gender,2009,male,participants,528993,TN
full-year,all_sports,gender,2010,male,participants,510649,TN
full-year,all_sports,gender,2011,male,participants,496156,TN
full-year,all_sports,gender,2012,male,participants,512144,TN
full-year,all_sports,gender,2013,male,participants,506657,TN
full-year,all_sports,gender,2014,male,participants,515935,TN
full-year,all_sports,gender,2015,male,participants,504246,TN
full-year,all_sports,gender,2016,male,participants,488448,TN
full-year,all_sports,gender,2017,male,participants,466456,TN
full-year,all_sports,gender,2018,male,participants,452804,TN
full-year,all_sports,gender,2009,female,participants,126583,TN
full-year,all_sports,gender,2010,female,participants,120725,TN
full-year,all_sports,gender,2011,female,participants,118583,TN
full-year,all_sports,gender,2012,female,participants,130756,TN
full-year,all_sports,gender,2013,female,participants,131816,TN
full-year,all_sports,gender,2014,female,participants,140242,TN
full-year,all_sports,gender,2015,female,participants,136816,TN
full-year,all_sports,gender,2016,female,participants,131553,TN
full-year,all_sports,gender,2017,female,participants,121773,TN
full-year,all_sports,gender,2018,female,participants,112911,TN
full-year,all_sports,age,2009,18-24,participants,80777,TN
full-year,all_sports,age,2010,18-24,participants,78021,TN
full-year,all_sports,age,2011,18-24,participants,78068,TN
full-year,all_sports,age,2012,18-24,participants,86774,TN
full-year,all_sports,age,2013,18-24,participants,88910,TN
full-year,all_sports,age,2014,18-24,participants,92693,TN
full-year,all_sports,age,2015,18-24,participants,89347,TN
full-year,all_sports,age,2016,18-24,participants,84475,TN
full-year,all_sports,age,2017,18-24,participants,77662,TN
full-year,all_sports,age,2018,18-24,participants,73352,TN
full-year,all_sports,age,2009,25-34,participants,131141,TN
full-year,all_sports,age,2010,25-34,participants,124655,TN
full-year,all_sports,age,2011,25-34,participants,122745,TN
full-year,all_sports,age,2012,25-34,participants,128478,TN
full-year,all_sports,age,2013,25-34,participants,128711,TN
full-year,all_sports,age,2014,25-34,participants,133130,TN
full-year,all_sports,age,2015,25-34,participants,129693,TN
full-year,all_sports,age,2016,25-34,participants,126017,TN
full-year,all_sports,age,2017,25-34,participants,118321,TN
full-year,all_sports,age,2018,25-34,participants,112774,TN
full-year,all_sports,age,2009,35-44,participants,158432,TN
full-year,all_sports,age,2010,35-44,participants,150065,TN
full-year,all_sports,age,2011,35-44,participants,143842,TN
full-year,all_sports,age,2012,35-44,participants,147754,TN
full-year,all_sports,age,2013,35-44,participants,144150,TN
full-year,all_sports,age,2014,35-44,participants,146055,TN
full-year,all_sports,age,2015,35-44,participants,139336,TN
full-year,all_sports,age,2016,35-44,participants,133369,TN
full-year,all_sports,age,2017,35-44,participants,125892,TN
full-year,all_sports,age,2018,35-44,participants,119736,TN
full-year,all_sports,age,2009,45-54,participants,161958,TN
full-year,all_sports,age,2010,45-54,participants,156714,TN
full-year,all_sports,age,2011,45-54,participants,151458,TN
full-year,all_sports,age,2012,45-54,participants,156006,TN
full-year,all_sports,age,2013,45-54,participants,153760,TN
full-year,all_sports,age,2014,45-54,participants,156763,TN
full-year,all_sports,age,2015,45-54,participants,153690,TN
full-year,all_sports,age,2016,45-54,participants,149272,TN
full-year,all_sports,age,2017,45-54,participants,142054,TN
full-year,all_sports,age,2018,45-54,participants,136178,TN
full-year,all_sports,age,2009,55-64,participants,123268,TN
full-year,all_sports,age,2010,55-64,participants,121918,TN
full-year,all_sports,age,2011,55-64,participants,118627,TN
full-year,all_sports,age,2012,55-64,participants,123889,TN
full-year,all_sports,age,2013,55-64,participants,122943,TN
full-year,all_sports,age,2014,55-64,participants,127537,TN
full-year,all_sports,age,2015,55-64,participants,128994,TN
full-year,all_sports,age,2016,55-64,participants,126868,TN
full-year,all_sports,age,2017,55-64,participants,124301,TN
full-year,all_sports,age,2018,55-64,participants,123674,TN
full-year,all_sports,all,2014,all,recruits,162935,TN
full-year,all_sports,all,2015,all,recruits,155536,TN
full-year,all_sports,all,2016,all,recruits,150869,TN
full-year,all_sports,all,2017,all,recruits,142305,TN
full-year,all_sports,all,2018,all,recruits,136135,TN
full-year,all_sports,residency,2014,resident,recruits,89517,TN
